,EarningsYield_zscore,GrossProfitability_zscore,AssetGrowth_zscore,Accruals_zscore,Momentum12_1_zscore,NetDebtEBITDA_zscore,SUE_zscore,AnalystRevision_zscore,AnalystDispersion_zscore,RevisionBreadth_zscore,Beta_zscore,IVOL_zscore,ShortInterestRatio_zscore,InstOwnershipChg_zscore,Turnover_zscore,AmihudIlliquidity_zscore,High52W_Proximity_zscore,MaxDailyReturn_zscore,ReturnSkewness_zscore,ImpliedEPSGrowth_zscore,QRevGrowthYoY_zscore,AnalystCoverageChg_zscore
IVOL_zscore,-0.1520630877236333,0.09865618568419346,0.20691913812493923,-0.19176269272676824,0.0694732571440973,-0.0593795061885002,-0.1493278567088374,-0.015333562974286275,0.3194450138821062,-0.02577473623452048,0.4697267699594294,1.0,0.2963656406793379,-0.005509000381637315,0.6656416298790631,0.16485304108716833,-0.3444596094022272,0.598000927834828,0.0666066315636549,0.21553794330154555,0.17661100181587444,0.020802710796280016
ShortInterestRatio_zscore,-0.06219649315290086,0.13898585216940487,0.12764890444048888,-0.04514705949301349,-0.024013954477864297,-0.03135837483101193,-0.10871744306216052,-0.048310358475880465,0.1407731018673765,-0.03903298451952954,0.1651869449395037,0.2963656406793379,1.0,0.10164613091483216,0.41906577557335684,0.19145472094399743,-0.10739002870401165,0.1985536257702023,0.008886599404352592,0.05931801431186477,0.056100673751923624,0.00699498958047065
InstOwnershipChg_zscore,-0.013354202361013241,-0.009746105763325397,0.01825859027447587,0.00606861489174341,-0.006855401122118965,0.011478873709667818,-0.009286065097261889,0.002708375481903014,0.0023391453639597295,-0.01223026659426941,-0.010830140574827812,-0.005509000381637315,0.10164613091483216,1.0,0.013132684426862157,0.029099675230619446,0.04314669856722539,0.007008708795890866,0.007454401670012117,-0.003211918935755259,0.005653904600706908,-0.00527261856194646
Turnover_zscore,-0.08224827423180099,0.07998977710325451,0.1669686226328883,-0.16201693526482958,0.048602718978370846,-0.040625772189366034,-0.15702904014607502,-0.019067598628676307,0.28604384014851475,-0.03414517401847193,0.411470010381041,0.6656416298790631,0.41906577557335684,0.013132684426862157,1.0,0.043470037414147865,-0.28762572376609274,0.49830393327767186,0.04543472496099529,0.17638506387595929,0.16254631318243076,0.015444568739194461
AmihudIlliquidity_zscore,-0.06214973609958523,-0.00034144771277789523,0.06298906358878281,0.05520628381113686,-0.0407195616364713,-0.012328608815254804,-0.1477095010784458,-0.03294918725058,0.06155137129433333,-0.032196933957080606,0.21368996239364643,0.16485304108716833,0.19145472094399743,0.029099675230619446,0.043470037414147865,1.0,-0.09305717030823925,0.15952707920241627,0.020264234320803473,0.03345077047070407,0.03185604536708438,0.001498010346977216
High52W_Proximity_zscore,-0.09021667364400408,0.003133189196413364,-0.059469479819081184,0.04857290551157174,0.4092545849030081,-0.010606843623169932,0.10862542401755054,0.25583067180680674,-0.15584083630963788,0.2155839659761396,-0.22414840684335546,-0.3444596094022272,-0.10739002870401165,0.04314669856722539,-0.28762572376609274,-0.09305717030823925,1.0,-0.14823042380990348,0.08092664816393709,-0.07537031140038333,0.01920726125920998,0.009085168656390731
MaxDailyReturn_zscore,-0.10419741768587308,0.04594289459383195,0.14486342262603807,-0.10660549893314535,-0.009531766548822419,-0.06351380949507693,-0.10927170474818974,-0.014783048231599778,0.2262277518247586,0.011517555220877268,0.4280329921128399,0.598000927834828,0.1985536257702023,0.007008708795890866,0.49830393327767186,0.15952707920241627,-0.14823042380990348,1.0,0.5553198577457674,0.1575696738511573,0.11244461198218948,0.01384473846238305
ReturnSkewness_zscore,-0.028781050861585812,0.003056705848477889,0.014902892887313026,-0.0043576505317329765,-0.057698650904292756,-0.010843939935009393,-0.04150910189918713,-0.007827669999356055,0.04472054302941979,0.05345209549892401,0.08455268728406816,0.0666066315636549,0.008886599404352592,0.007454401670012117,0.04543472496099529,0.020264234320803473,0.08092664816393709,0.5553198577457674,1.0,0.03570071969280425,-0.004868356495651513,0.0006319423892881736
ImpliedEPSGrowth_zscore,-0.2091547854005175,-0.015737319724548636,0.07532635494597782,-0.13566348311127377,0.01908769110888881,0.004761722902125444,-0.2019052928731062,-0.09268984971849432,0.5164279746362517,-0.08175983803188935,0.23867050937282086,0.21553794330154555,0.05931801431186477,-0.003211918935755259,0.17638506387595929,0.03345077047070407,-0.07537031140038333,0.1575696738511573,0.03570071969280425,1.0,0.06059086044293279,0.003819589226014023
QRevGrowthYoY_zscore,-0.17039439495681657,-0.0052488680366086105,0.33285882940286243,-0.05128991244706025,0.23100498469517552,-0.05373379505001621,0.017597327042588835,0.10724137840123871,0.0739763464777991,0.06634359041773824,0.10963591678713262,0.17661100181587444,0.056100673751923624,0.005653904600706908,0.16254631318243076,0.03185604536708438,0.01920726125920998,0.11244461198218948,-0.004868356495651513,0.06059086044293279,1.0,0.038547590010815876
AnalystCoverageChg_zscore,-0.03319521040528587,0.01672175542051263,0.0325734761347782,-0.0043695492102684315,0.023219923760419422,0.0053436702705073605,-0.009805279784919173,0.06127969182618439,0.00044707524463548153,0.021347736704821957,0.00029528581053580503,0.020802710796280016,0.00699498958047065,-0.00527261856194646,0.015444568739194461,0.001498010346977216,0.009085168656390731,0.01384473846238305,0.0006319423892881736,0.003819589226014023,0.038547590010815876,1.0
